item,statement,claim
Q520959,P276,['Q156990']
Q4635677,P31,['Q1331793']
Q2850042,P31,['Q3516833']
Q2850042,P279,['Q1401416']
Q2850042,P61,"['Q93161', 'Q5497114']"
Q2850042,P910,['Q7581023']
Q229390,P910,['Q6836022']
Q229390,P279,['Q11424']
Q229390,P1343,['Q2657718']
Q229390,P1552,['Q34929']
Q229390,P2283,['Q189177']
Q229390,P461,['Q99526025']
Q229390,P1889,['Q29027']
Q229390,P31,['Q110900120']
Q2180721,P31,['Q220505']
Q2180721,P17,['Q30']
Q1060398,P279,['Q11424']
Q1060398,P1889,['Q238125']
Q1060398,P910,['Q8874061']
Q4639659,P495,['Q30']
Q4639659,P279,['Q40050']
Q4639659,P31,['Q21980538']
Q275936,P31,['Q811979']
Q275936,P17,['Q30']
Q275936,P84,['Q212487']
Q275936,P193,['Q6103890']
Q275936,P131,['Q1297']
Q1758841,P910,['Q9049207']
Q1758841,P31,['Q11483816']
Q1758841,P17,['Q55']
Q1758841,P279,['Q868557']
Q3602929,P17,"['Q30', 'Q159', 'Q142']"
Q3602929,P131,"['Q11299', 'Q60']"
Q3602929,P31,"['Q1007870', 'Q4830453', 'Q3267025']"
Q3602929,P740,['Q1899']
Q3602929,P159,['Q60']
Q3602929,P921,['Q161439']
Q3602929,P1343,['Q89929597']
Q3602929,P1268,['Q20657258']
Q3728308,P50,['Q981460']
Q3728308,P179,['Q1100856']
Q3728308,P495,['Q29']
Q3728308,P136,['Q1474729']
Q3728308,P407,['Q1321']
Q3728308,P123,['Q3275000']
Q3728308,P31,['Q1004']
Q85739206,P495,['Q145']
Q85739206,P31,['Q571']
Q85739206,P50,['Q347912']
Q85739206,P407,['Q1860']
Q614986,P31,['Q3305213']
Q614986,P195,['Q23402']
Q614986,P170,['Q35548']
Q614986,P186,"['Q296955', 'Q12321255']"
Q614986,P136,"['Q40446', 'Q1047337']"
Q614986,P276,['Q23402']
Q614986,P180,"['Q54128', 'Q467', 'Q42177', 'Q10791', 'Q128758', 'Q191851']"
Q614986,P608,"['Q16872904', 'Q59925467']"
Q614986,P144,['Q737062']
Q614986,P6216,['Q19652']
Q614986,P127,['Q1369513']
Q23912,P31,"['Q3305213', 'Q2647254']"
Q23912,P180,['Q19939']
Q23912,P195,['Q3044768']
Q23912,P170,['Q33477']
Q23912,P186,"['Q296955', 'Q12321255']"
Q23912,P136,['Q16875712']
Q23912,P608,"['Q15118718', 'Q59871232']"
Q23912,P127,['Q42899454']
Q23912,P6216,['Q19652']
Q23912,P276,['Q19059868']
Q277763,P31,['Q1107679']
Q277763,P17,['Q17']
Q277763,P910,['Q7905442']
Q277763,P159,['Q232631']
Q277763,P1454,['Q1480166']
Q277763,P127,['Q770328']
Q277763,P452,['Q2575347']
Q277763,P749,['Q770328']
Q277763,P1056,['Q1107']
Q9513,P39,['Q313383']
Q9513,P69,"['Q7589140', 'Q1364464', 'Q782116']"
Q9513,P27,"['Q668', 'Q129286', 'Q1775277']"
Q9513,P31,['Q5']
Q9513,P19,['Q12974700']
Q9513,P106,"['Q10497074', 'Q49757', 'Q81096', 'Q82955', 'Q901', 'Q37226', 'Q15895020']"
Q9513,P735,['Q334826']
Q9513,P166,"['Q932650', 'Q322132', 'Q5636299', 'Q30147268', 'Q19894899', 'Q17132005', 'Q6008456', 'Q6543932', 'Q672392']"
Q9513,P509,['Q202837']
Q9513,P1196,['Q3739104']
Q9513,P20,['Q207752']
Q9513,P1412,"['Q5885', 'Q8097', 'Q1860']"
Q9513,P103,['Q5885']
Q9513,P800,['Q3521726']
Q9513,P140,"['Q483654', 'Q432']"
Q9513,P910,['Q24984348']
Q9513,P5056,['Q46107622']
Q9513,P21,['Q6581097']
Q9513,P66,['Q1445']
Q9513,P101,"['Q3798668', 'Q936518', 'Q482', 'Q7163', 'Q336', 'Q3477363']"
Q9513,P3602,['Q10967800']
Q9513,P1576,['Q83364']
Q1945630,P31,['Q12973014']
Q301092,P31,"['Q1107679', 'Q375336', 'Q1762059']"
Q301092,P112,"['Q1975096', 'Q5240003']"
Q301092,P910,['Q7336377']
Q301092,P159,['Q23154']
Q301092,P166,['Q838121']
Q301092,P1454,['Q6832945']
Q301092,P452,['Q11425']
Q301092,P17,['Q145']
Q301092,P1411,['Q777921']
Q301092,P1056,"['Q691528', 'Q17021968', 'Q941012']"
Q2708661,P31,['Q5']
Q2708661,P21,['Q6581097']
Q2708661,P106,['Q15995642']
Q2708661,P735,['Q47464454']
Q2708661,P39,['Q29182']
Q2708661,P140,['Q168414']
Q2708661,P841,['Q2362']
Q2708661,P411,['Q43115']
Q2708661,P1066,"['Q19413997', 'Q330870']"
Q2708661,P20,['Q18358552']
Q30556,P21,['Q6581097']
Q30556,P31,['Q5']
Q30556,P19,['Q8717']
Q30556,P20,['Q8717']
Q30556,P735,['Q20155923']
Q30556,P22,['Q305795']
Q30556,P40,['Q299578']
Q30556,P106,"['Q82955', 'Q49757']"
Q30556,P39,"['Q12097', 'Q61802597']"
Q30556,P1343,"['Q602358', 'Q4532135']"
Q30556,P53,['Q305820']
Q30556,P140,['Q432']
Q30556,P27,['Q123559']
Q30556,P5008,['Q106703387']
Q55210,P101,"['Q37260', 'Q590870', 'Q11424', 'Q36649', 'Q482', 'Q11633']"
Q55210,P166,"['Q10855195', 'Q1529156', 'Q268670', 'Q306590', 'Q96781938', 'Q179808', 'Q944480', 'Q113532584', 'Q126416244', 'Q126416281']"
Q55210,P19,['Q3616']
Q55210,P106,"['Q2526255', 'Q28389', 'Q33231', 'Q3282637', 'Q49757', 'Q7042855', 'Q33999', 'Q1028181', 'Q1281618', 'Q222344', 'Q627325', 'Q644687', 'Q957729', 'Q876864', 'Q3455803']"
Q55210,P31,['Q5']
Q55210,P910,['Q8218200']
Q55210,P27,['Q794']
Q55210,P735,['Q19825038']
Q55210,P1283,['Q3349475']
Q55210,P1412,"['Q1860', 'Q9168']"
Q55210,P40,['Q2879304']
Q55210,P20,['Q187153']
Q55210,P1196,['Q3739104']
Q55210,P69,['Q737835']
Q55210,P361,['Q1472444']
Q55210,P734,['Q21491719']
Q55210,P509,"['Q189588', 'Q14467705']"
Q55210,P21,['Q6581097']
Q55210,P7084,['Q8452648']
Q55210,P1343,['Q67311526']
Q55210,P6275,"['Q71521142', 'Q71528227']"
Q55210,P6379,"['Q188740', 'Q913672', 'Q3026874']"
Q55210,P7763,['Q73555012']
Q55210,P172,['Q1672477']
Q55210,P802,['Q85627863']
Q55210,P136,"['Q173436', 'Q7207520']"
Q157550,P17,['Q183']
Q157550,P31,"['Q160742', 'Q44613', 'Q33506']"
Q157550,P611,['Q131132']
Q157550,P910,['Q16659833']
Q157550,P1435,"['Q43113623', 'Q9259']"
Q157550,P149,['Q2337737']
Q157550,P131,['Q524939']
Q157550,P1791,['Q8328091']
Q157550,P159,['Q524939']
Q157550,P2614,"['Q23038977', 'Q23038978']"
Q157550,P793,['Q29778318']
Q157550,P527,"['Q64821668', 'Q1131741', 'Q99330906', 'Q99438381', 'Q131295007']"
Q157550,P140,['Q1841']
Q262737,P31,"['Q786820', 'Q936518', 'Q15081030']"
Q262737,P452,"['Q190117', 'Q3798668']"
Q262737,P159,['Q5744439']
Q262737,P17,['Q145']
Q262737,P1366,['Q13220673']
Q262737,P1454,['Q6832945']
Q84044419,P31,['Q5']
Q84044419,P21,['Q6581097']
Q84044419,P27,['Q117']
Q84044419,P106,"['Q82955', 'Q2067634', 'Q385378']"
Q84044419,P69,['Q6972456']
Q84044419,P39,"['Q61659950', 'Q107585189']"
Q84044419,P140,['Q33203']
Q84044419,P102,['Q200875']
Q84044419,P1412,"['Q1860', 'Q35570']"
Q84044419,P735,['Q126177151']
Q9457,P31,['Q5']
Q9457,P19,['Q2734999']
Q9457,P106,"['Q36180', 'Q1028181', 'Q214917', 'Q3578589', 'Q1114448']"
Q9457,P27,"['Q668', 'Q129286', 'Q1775277']"
Q9457,P140,['Q432']
Q9457,P69,['Q7527516']
Q9457,P735,['Q18978262']
Q9457,P1412,"['Q5137', 'Q1568']"
Q9457,P551,['Q1156']
Q9457,P734,['Q37045255']
Q9457,P21,['Q6581097']
Q9457,P6886,"['Q5137', 'Q1568', 'Q1860']"
Q25350,P105,['Q34740']
Q25350,P171,"['Q101680', 'Q2821616']"
Q25350,P31,['Q16521']
Q25350,P910,['Q7455833']
Q25350,P1672,['Q746026']
Q25350,P1343,"['Q2657718', 'Q2041543', 'Q19219752', 'Q112869376', 'Q602358', 'Q19180675', 'Q867541', 'Q56441911', 'Q16082057', 'Q124737616']"
Q25350,P166,['Q91888146']
Q25350,P427,['Q146992']
Q25350,P1424,['Q25716287']
Q25350,P5008,['Q6173448']
Q25350,P279,['Q10884']
Q59647,P31,['Q4022']
Q59647,P17,['Q16']
Q59647,P131,['Q1904']
Q59647,P403,['Q59446']
Q59647,P885,['Q321534']
Q59647,P974,"['Q1452915', 'Q6648837', 'Q15842582', 'Q17510236', 'Q19819404', 'Q22427230']"
Q59647,P469,['Q321534']
Q59647,P4614,['Q67186244']
Q59647,P1343,['Q867541']
Q322956,P31,"['Q327333', 'Q110376455']"
Q322956,P17,['Q408']
Q322956,P159,['Q3114']
Q91,P734,['Q18610168']
Q91,P735,['Q17997608']
Q91,P1196,['Q149086']
Q91,P106,"['Q82955', 'Q1416611', 'Q40348', 'Q372436', 'Q131512', 'Q189290', 'Q36180']"
Q91,P20,"['Q61', 'Q4799733']"
Q91,P40,"['Q332958', 'Q135687', 'Q435793', 'Q5338658']"
Q91,P119,['Q3409587']
Q91,P19,"['Q547313', 'Q113363481']"
Q91,P27,['Q30']
Q91,P39,"['Q13218630', 'Q11696', 'Q17495450', 'Q1467287']"
Q91,P31,['Q5']
Q91,P102,"['Q29468', 'Q42183', 'Q80719']"
Q91,P410,['Q2937293']
Q91,P910,['Q8218705']
Q91,P26,['Q215062']
Q91,P607,"['Q879980', 'Q8676']"
Q91,P485,"['Q330237', 'Q814779']"
Q91,P551,"['Q28515', 'Q61', 'Q512799', 'Q547313', 'Q3658797']"
Q91,P1412,['Q1860']
Q91,P103,['Q7976']
Q91,P1343,"['Q17378135', 'Q2657718', 'Q2041543', 'Q602358', 'Q19180675', 'Q867541', 'Q64223531', 'Q67311526', 'Q99413897', 'Q3181656', 'Q106727050', 'Q19098835', 'Q20078554', 'Q19219752', 'Q19085957', 'Q19077875', 'Q19047539', 'Q20096917', 'Q1029706', 'Q16082057']"
Q91,P937,"['Q28515', 'Q61']"
Q91,P1424,['Q6667075']
Q91,P3373,"['Q5507030', 'Q5507350']"
Q91,P509,['Q15824243']
Q91,P3828,['Q110304']
Q91,P5008,"['Q5460604', 'Q6173448']"
Q91,P5125,['Q28402356']
Q91,P737,"['Q1845', 'Q7634490', 'Q268211']"
Q91,P793,"['Q5509119', 'Q5454179', 'Q1025404', 'Q7443705']"
Q91,P21,['Q6581097']
Q91,P1830,"['Q1816474', 'Q4483493', 'Q4668992']"
Q91,P3602,"['Q698842', 'Q698908', 'Q3324519']"
Q91,P241,['Q5999581']
Q91,P53,['Q3832577']
Q91,P1299,"['Q32433', 'Q679096']"
Q91,P6886,['Q1860']
Q91,P140,"['Q93191', 'Q2479801']"
Q91,P172,['Q1344183']
Q91,P8852,['Q942900']
Q91,P25,['Q3335588']
Q91,P22,['Q3525359']
Q91,P157,['Q180914']
Q91,P7763,['Q71887839']
Q91,P800,['Q214524']
Q91,P1889,['Q390994']
Q91,P9493,['Q98665879']
Q91,P1441,['Q111784345']
Q4650387,P31,['Q1331793']
Q4650387,P17,['Q928']
Q4650387,P127,"['Q287617', 'Q400566']"
Q4650387,P910,['Q8217219']
Q2822053,P31,['Q189819']
Q2822053,P361,['Q51616']
Q2822053,P527,"['Q373066', 'Q543177']"
Q2822053,P140,['Q9592']
Q2822053,P1343,['Q130479387']
Q332564,P31,['Q201658']
Q332564,P910,['Q28130972']
Q332564,P279,['Q202866']
Q7849,P279,['Q11924610']
Q7849,P910,['Q8168565']
Q7849,P641,['Q5386']
Q7849,P276,['Q172869']
Q7849,P31,"['Q18608583', 'Q108886259']"
Q7849,P17,['Q878']
Q7849,P1346,['Q2239218']
Q7849,P664,['Q179412']
Q7849,P527,"['Q11912', 'Q11914', 'Q11915', 'Q11916', 'Q11879164', 'Q15970330', 'Q19601896', 'Q23045135', 'Q29068728', 'Q48311418', 'Q61366508', 'Q98774921', 'Q106317441', 'Q111333424', 'Q115479148', 'Q115910673', 'Q115910675', 'Q115910679', 'Q115910685', 'Q115910687', 'Q115910689', 'Q115910690']"
Q5670,P21,['Q6581097']
Q5670,P106,"['Q49757', 'Q36180']"
Q5670,P19,"['Q170366', 'Q48195']"
Q5670,P20,['Q1530']
Q5670,P31,['Q5']
Q5670,P1343,"['Q602358', 'Q867541', 'Q20078554', 'Q19180675', 'Q17329836', 'Q19098835', 'Q4532138', 'Q123560817']"
Q5670,P1412,['Q13955']
Q5670,P136,['Q482']
Q5670,P5008,"['Q5460604', 'Q6173448']"
Q5670,P27,['Q12536']
Q5670,P140,['Q432']
Q5670,P735,['Q16276444']
Q5670,P910,['Q60588922']
Q5670,P7763,['Q71887839']
Q5670,P6886,['Q13955']
Q5670,P91,['Q339014']
Q5670,P103,['Q13955']
Q2704613,P21,['Q6581097']
Q2704613,P31,['Q5']
Q2704613,P140,"['Q432', 'Q483654', 'Q9603']"
Q2704613,P1576,['Q45996']
Q2704613,P106,"['Q15995642', 'Q2369218', 'Q4231368']"
Q2704613,P101,['Q9603']
Q2704613,P735,['Q11905003']
Q2704613,P1412,['Q13955']
Q2704613,P20,['Q282428']
Q2704613,P1066,['Q308115']
Q2704613,P802,"['Q28716660', 'Q3229284']"
Q2704613,P119,['Q12220561']
Q2704613,P27,['Q1028']
Q2704613,P19,['Q1028']
Q337429,P31,"['Q476028', 'Q847017']"
Q337429,P641,['Q2736']
Q337429,P17,['Q45']
Q337429,P159,['Q36433']
Q337429,P166,"['Q66476970', 'Q66494271']"
Q337429,P1424,['Q25887563']
Q337429,P452,['Q124022875']
Q288066,P31,['Q18608583']
Q288066,P641,['Q11015']
Q288066,P279,"['Q64250307', 'Q17299750']"
Q288066,P527,"['Q122309427', 'Q122309410', 'Q122309396', 'Q122308277', 'Q122308252', 'Q122308238', 'Q122308215', 'Q122308166', 'Q122308150', 'Q122308139', 'Q122307904', 'Q122307721', 'Q122307703', 'Q122293784', 'Q122293339', 'Q121436669', 'Q112670407', 'Q112669495', 'Q112663619', 'Q112656590', 'Q112653416', 'Q112632005', 'Q112604522', 'Q112603586', 'Q112584731', 'Q112338478', 'Q112336841', 'Q112255425', 'Q112178198', 'Q112157463', 'Q31838850', 'Q31838957', 'Q31838987', 'Q56862044', 'Q64658354', 'Q108818819', 'Q112154827', 'Q117222611', 'Q131338572']"
Q4672263,P495,['Q145']
Q4672263,P279,"['Q40050', 'Q2647467']"
Q4672263,P31,['Q431289']
Q16001522,P31,"['Q2915955', 'Q7225120', 'Q9357091']"
Q16001522,P279,['Q2892659']
Q4672374,P279,['Q1156854']
Q83390,P279,"['Q45594', 'Q2090950']"
Q83390,P460,['Q419736']
Q83390,P2596,"['Q11772', 'Q1747689']"
Q83390,P31,"['Q484692', 'Q188451', 'Q862597']"
Q83390,P495,['Q1747689']
Q419736,P1343,"['Q1138524', 'Q9253865', 'Q867541', 'Q302556']"
Q419736,P279,['Q45594']
Q419736,P460,['Q83390']
Q419736,P1889,['Q9143453']
Q706884,P460,['Q7466820']
Q706884,P1269,['Q7748']
Q706884,P279,['Q1184268']
Q706884,P425,['Q3625599']
Q706884,P31,['Q7748']
Q706884,P1343,"['Q867541', 'Q302556']"
Q1863064,P31,"['Q66715801', 'Q12737077']"
Q1863064,P279,"['Q1075651', 'Q1278335']"
Q1863064,P910,['Q7444553']
Q1863064,P2283,['Q79838']
Q1863064,P2354,['Q6305911']
Q1863064,P425,"['Q4672733', 'Q107514431']"
Q42292,P910,['Q7214702']
Q42292,P105,['Q34740']
Q42292,P171,"['Q163489', 'Q1450881']"
Q42292,P31,['Q16521']
Q42292,P1672,"['Q402516', 'Q112244839', 'Q99522987', 'Q119198840']"
Q42292,P1343,"['Q602358', 'Q1138524', 'Q602358', 'Q1768721', 'Q2041543', 'Q107402112', 'Q19219752', 'Q112869435', 'Q1970746', 'Q20078554', 'Q867541', 'Q56441911', 'Q19180675']"
Q42292,P1889,['Q228045']
Q42292,P279,['Q10884']
Q386510,P171,['Q4673569']
Q386510,P105,['Q35409']
Q386510,P910,['Q8220129']
Q386510,P31,['Q16521']
Q386510,P279,['Q729']
Q236932,P31,['Q188451']
Q236932,P910,['Q8833558']
Q236932,P279,['Q206159']
Q236932,P495,['Q30']
Q236932,P2354,['Q27676319']
Q236932,P1552,['Q107975727']
Q196188,P279,"['Q7239', 'Q206912']"
Q196188,P1552,['Q11158']
Q423918,P279,['Q1326777']
Q423918,P31,['Q188451']
Q288838,P910,['Q8217276']
Q288838,P31,['Q7278']
Q288838,P17,['Q664']
Q288838,P112,"['Q352998', 'Q5262289']"
Q288838,P159,['Q664903']
Q288838,P1142,"['Q794394', 'Q250598', 'Q853562']"
Q288838,P488,"['Q17055796', 'Q15070150', 'Q6220548', 'Q1238979', 'Q7356954', 'Q6138577', 'Q352998']"
Q288838,P6365,['Q8217278']
Q188473,P31,['Q201658']
Q188473,P279,"['Q1762165', 'Q11424']"
Q188473,P910,['Q6832361']
Q188473,P2354,['Q2766205']
Q4010939,P31,['Q109733629']
Q4010939,P279,['Q334166']
Q4010939,P5008,"['Q60687720', 'Q15305047']"
Q4677625,P279,['Q571']
Q344394,P17,['Q30']
Q344394,P131,['Q506230']
Q344394,P31,"['Q3957', 'Q123705']"
Q4677709,P31,['Q28640']
Q4677709,P279,"['Q33999', 'Q1776724']"
Q21169216,P460,['Q33999']
Q21169216,P31,"['Q12737077', 'Q28640']"
Q21169216,P910,['Q6769231']
Q21169216,P279,['Q33999']
Q21169216,P425,['Q222749']
Q21169216,P1552,['Q6581072']
Q21169216,P1687,"['P161', 'P175']"
Q21169216,P1343,['Q106727050']
Q21169216,P461,['Q112619615']
Q289953,P31,"['Q6918183', 'Q2085381', 'Q337810', 'Q15911314', 'Q163740']"
Q289953,P910,['Q8874366']
Q289953,P463,"['Q537395', 'Q1204711', 'Q2513649', 'Q2111449', 'Q1205399', 'Q179412', 'Q223400', 'Q747150', 'Q1205460', 'Q190367', 'Q1206091', 'Q1205236', 'Q15851420', 'Q782391', 'Q1479352', 'Q1008895', 'Q627274', 'Q1205453', 'Q1204369']"
Q289953,P17,['Q183']
Q289953,P159,['Q1726']
Q289953,P1454,['Q9299236']
Q289953,P1830,['Q15712316']
Q289953,P166,['Q2517928']
Q289953,P488,"['Q19259801', 'Q115859450']"
Q289953,P1343,['Q103890016']
Q289953,P452,"['Q29586079', 'Q107603209']"
Q289953,P6379,['Q99349995']
Q289953,P527,"['Q111443922', 'Q111444525', 'Q111444117', 'Q111443938', 'Q111443879', 'Q111443948', 'Q111443984', 'Q111443999', 'Q111443829', 'Q111444074', 'Q111444122', 'Q111444137', 'Q111444323', 'Q111444403', 'Q111444414', 'Q111444501', 'Q111444511']"
Q4214,P19,['Q131329']
Q4214,P106,"['Q36834', 'Q36180', 'Q49757', 'Q1996467']"
Q4214,P20,['Q2634']
Q4214,P27,['Q70972']
Q4214,P31,['Q5']
Q4214,P735,['Q347181']
Q4214,P135,['Q163775']
Q4214,P1412,"['Q35222', 'Q34024']"
Q4214,P1343,"['Q27680201', 'Q602358', 'Q20078554', 'Q19098835', 'Q19180675', 'Q19219752', 'Q867541', 'Q125935456']"
Q4214,P21,['Q6581097']
Q4214,P6886,['Q35222']
Q4214,P7763,['Q71887839']
Q4214,P2348,['Q7049']
Q4214,P136,['Q3401087']
Q4214,P800,"['Q42191678', 'Q2074038', 'Q42191676', 'Q114648850', 'Q114670737', 'Q114670763', 'Q121051076', 'Q121069200', 'Q121069275', 'Q121069226']"
Q4214,P101,"['Q638', 'Q482']"
Q4214,P734,['Q16276204']
Q310285,P802,"['Q622729', 'Q2060508', 'Q938607']"
Q310285,P19,['Q1794']
Q310285,P20,['Q220']
Q310285,P31,['Q5']
Q310285,P106,"['Q1028181', 'Q5322166', 'Q3391743']"
Q310285,P937,['Q220']
Q310285,P735,['Q347181']
Q310285,P27,['Q183']
Q310285,P1343,"['Q7737966', 'Q2283753', 'Q15089621', 'Q1157807', 'Q16169047', 'Q15955936', 'Q590208', 'Q602358', 'Q67311526', 'Q63284758', 'Q20078554', 'Q20968284']"
Q310285,P800,"['Q17330312', 'Q2381716']"
Q310285,P119,['Q1515316']
Q310285,P1299,['Q43220854']
Q310285,P734,['Q52157776']
Q310285,P1412,['Q188']
Q310285,P1066,"['Q319135', 'Q559004']"
Q310285,P21,['Q6581097']
Q310285,P6379,"['Q163804', 'Q1700481', 'Q160112', 'Q239303', 'Q1976985', 'Q4819492', 'Q1464509', 'Q214867', 'Q842858', 'Q510324', 'Q190804', 'Q2051997', 'Q812285', 'Q653002', 'Q954222', 'Q671384', 'Q180788', 'Q132783', 'Q1536471', 'Q1741629', 'Q153306', 'Q1421440', 'Q678082', 'Q198347', 'Q51252', 'Q622206', 'Q1568434', 'Q2081335', 'Q154568', 'Q165631', 'Q179062', 'Q1519002', 'Q7981191', 'Q942713', 'Q2098586', 'Q3098373', 'Q731126', 'Q679527', 'Q51674344', 'Q7681908', 'Q119980024', 'Q700959']"
Q310285,P7763,['Q71887839']
Q310285,P5008,['Q104694359']
Q310285,P9493,"['Q5503390', 'Q64579481']"
Q310285,P9969,"['Q95155009', 'Q117744584']"
Q352270,P31,"['Q847017', 'Q476028']"
Q352270,P115,['Q1467574']
Q352270,P118,['Q1141692']
Q352270,P286,['Q1821767']
Q352270,P910,['Q10127498']
Q352270,P641,"['Q2736', 'Q5372']"
Q352270,P17,['Q43']
Q352270,P159,['Q38545']
Q352270,P488,['Q6019114']
Q352270,P6112,['Q6246360']
Q352270,P1424,['Q25866963']
Q352270,P452,['Q124022875']
Q31353,P21,['Q6581072']
Q31353,P19,['Q193370']
Q31353,P27,['Q142']
Q31353,P106,"['Q10800557', 'Q2259451', 'Q33999']"
Q31353,P31,['Q5']
Q31353,P735,['Q18175375']
Q31353,P1411,"['Q29597', 'Q24241', 'Q1377738']"
Q31353,P1412,['Q150']
Q31353,P103,['Q150']
Q31353,P166,"['Q1615857', 'Q24241', 'Q84000']"
Q31353,P734,['Q56244527']
Q31353,P1343,['Q67311526']
Q31353,P451,['Q461350']
Q31353,P69,['Q3268857']
Q31353,P463,['Q88796835']
Q31353,P91,['Q6649']
Q31353,P101,"['Q590870', 'Q289', 'Q11635', 'Q11424']"
Q31353,P800,"['Q93512', 'Q16864688', 'Q29378617', 'Q30032653', 'Q63246568']"
Q367540,P1343,['Q602358']
Q367540,P31,['Q189819']
Q367540,P140,['Q5043']
Q367540,P1269,['Q115679468']
Q1306755,P279,['Q2221906']
Q1306755,P361,['Q5283295']
